file,function_name,api_path,http_method,supported_workflow,legacy_owner,backend_next_owner,disposition,dependency_group,verification_requirement,source_ref,notes
api/buildings.api.ts,useMoveBuilding,/api/v2/buildings/move/,POST,building-move,/api/v2/buildings/move/,none,remaining-core,buildings,shape+semantics,api/buildings.api.ts:57,
api/buildings.api.ts,useUpgradeBuilding,/api/v1/buildings/${buildingId}/upgrade/,POST,building-upgrade,/api/v1/buildings/,none,remaining-core,buildings,shape+semantics,api/buildings.api.ts:68,
api/buildings.api.ts,useDemolishBuilding,/api/v2/buildings/demolish/,POST,building-demolish,/api/v2/buildings/demolish/,none,remaining-core,buildings,shape+semantics,api/buildings.api.ts:94,
api/market.api.ts,useMarketTicker,/api/v3/market-ticker/${resourceId}/,GET,market-ticker-view,/api/v3/market-ticker/,/api/v3/market-ticker/{resourceId}/,migrated,market,shape+semantics+side-effects,api/market.api.ts:10,
api/market.api.ts,useMarketDepth,/api/v3/market-depth/${resourceId}/${quality}/,GET,market-depth-view,/api/v3/market-depth/,/api/v3/market-depth/{resourceId}/{quality}/,migrated,market,shape+semantics+side-effects,api/market.api.ts:19,
api/market.api.ts,useMarketOrders,/api/v3/market/${resourceId}/${quality}/,GET,market-orderbook-view,/api/v3/market/,/api/v3/market/{resourceId}/{quality}/,migrated,market,shape+semantics+side-effects,api/market.api.ts:29,
api/market.api.ts,useCreateOrder,/api/v2/market-order/,POST,market-order-create,/api/v2/market-order/,/api/v2/market-order/,migrated,market,shape+semantics,api/market.api.ts:43,
api/market.api.ts,useCancelOrder,/api/v2/market-order/cancel/${orderId}/,DELETE,market-order-cancel,/api/v2/market-order/cancel/,/api/v2/market-order/cancel/{orderId}/,migrated,market,shape+semantics,api/market.api.ts:57,
api/market.api.ts,useTakeOrder,/api/v2/market-order/take/,POST,market-order-take,/api/v2/market-order/take/,/api/v2/market-order/take/,migrated,market,shape+semantics,api/market.api.ts:75,
api/market.api.ts,useResources,/api/v3/resources/,GET,resource-catalog,/api/v3/resources/,/api/v3/resources/,migrated,resources,shape,api/market.api.ts:97,
api/company.api.ts,useCompany,/api/v3/companies/${companyId}/,GET,company-view,/api/v3/companies/,none,remaining-core,company,shape,api/company.api.ts:62,
api/company.api.ts,usePlayerLevel,/api/v2/players/me/level/,GET,player-level,/api/v2/players/me/level/,none,remaining-core,progression,shape,api/company.api.ts:71,
api/company.api.ts,useCompleteTutorial,/api/v2/companies/me/tutorial/,POST,tutorial-complete,/api/v2/companies/me/tutorial/,none,remaining-core,company,shape,api/company.api.ts:80,
api/company.api.ts,useLogin,/api/login,POST,auth-login,/api/login,/api/login,migrated,auth,shape+semantics,api/company.api.ts:91,
api/company.api.ts,useRegister,/api/register,POST,auth-register,/api/register,/api/register,migrated,auth,shape+semantics,api/company.api.ts:106,
api/company.api.ts,useSavePreferences,/api/v2/players/${playerId}/preferences/,POST,preferences-save,/api/v2/players/,none,remaining-core,company,shape,api/company.api.ts:126,
api/financial.api.ts,useIncomeStatement,/api/v2/companies/me/income-statement/,GET,financial-reporting,/api/v2/companies/me/income-statement/,/api/v2/companies/me/income-statement/,migrated,finance,shape+semantics,api/financial.api.ts:79,
api/financial.api.ts,useBalanceSheet,/api/v2/companies/me/balance-sheet/,GET,financial-reporting,/api/v2/companies/me/balance-sheet/,/api/v2/companies/me/balance-sheet/,migrated,finance,shape+semantics,api/financial.api.ts:87,
api/financial.api.ts,useCashflowStatement,/api/v2/companies/me/cashflow-statement/,GET,financial-reporting,/api/v2/companies/me/cashflow-statement/,/api/v2/companies/me/cashflow-statement/,migrated,finance,shape+semantics,api/financial.api.ts:95,
api/financial.api.ts,useRecentCashflow,/api/v2/companies/me/cashflow/recent/,GET,financial-reporting,/api/v2/companies/me/cashflow/recent/,/api/v2/companies/me/cashflow/recent/,migrated,finance,shape+semantics,api/financial.api.ts:103,
api/financial.api.ts,usePastFinances,/api/v3/companies/me/past-finances/,GET,financial-past,/api/v3/companies/me/past-finances/,/api/v3/companies/me/past-finances/,migrated,finance,shape+semantics,api/financial.api.ts:111,
api/research.api.ts,useResearch,/api/v2/research/,GET,research-list,/api/v2/research/,none,deferred-plugin,research,shape,api/research.api.ts:59,
api/research.api.ts,useResearchProgress,/api/v2/research/progress/,GET,research-progress,/api/v2/research/progress/,none,deferred-plugin,research,shape,api/research.api.ts:69,
api/research.api.ts,useStartResearch,/api/v2/research/start/,POST,research-start,/api/v2/research/start/,none,deferred-plugin,research,shape+semantics,api/research.api.ts:79,
api/research.api.ts,useCompleteResearch,/api/v2/research/complete/${projectId}/,POST,research-complete,/api/v2/research/complete/,none,deferred-plugin,research,shape+semantics,api/research.api.ts:91,
api/leaderboard.api.ts,useLeaderboard,/api/v2/leaderboard/,GET,leaderboard-browse,/api/v2/leaderboard/,none,remaining-core,leaderboard,shape+semantics,api/leaderboard.api.ts:28,
api/powerup.api.ts,usePowerupTypes,/api/v2/players/simboosts/,GET,powerup-types,/api/v2/players/simboosts/,none,remaining-core,progression,shape,api/powerup.api.ts:35,
api/powerup.api.ts,useActivePowerup,/api/v2/players/simboosts-use/,GET,powerup-active,/api/v2/players/simboosts-use/,none,remaining-core,progression,shape,api/powerup.api.ts:44,
api/powerup.api.ts,useActivatePowerup,/api/v2/players/simboosts-use/,POST,powerup-activate,/api/v2/players/simboosts-use/,none,remaining-core,progression,shape+semantics,api/powerup.api.ts:54,
api/chat.api.ts,useMessages,/api/messages/,GET,chat-messages,/api/messages/,none,remaining-core,social,shape+semantics,api/chat.api.ts:42,
api/chat.api.ts,useSendMessage,/api/v2/message/,POST,chat-send,/api/v2/message/,none,remaining-core,social,shape+semantics,api/chat.api.ts:53,
api/chat.api.ts,useMarkRead,/api/v2/message/${messageId}/read/,GET,chat-mark-read,/api/v2/message/,none,remaining-core,social,shape,api/chat.api.ts:63,
api/chat.api.ts,useChatroom,/api/v2/chatroom/,GET,chat-room,/api/v2/chatroom/,none,remaining-core,social,shape,api/chat.api.ts:70,
api/chat.api.ts,useContacts,/api/v2/contacts/,GET,chat-contacts,/api/v2/contacts/,none,remaining-core,social,shape,api/chat.api.ts:80,
api/inventory.api.ts,useWarehouse,/api/v2/companies/me/warehouse/,GET,warehouse-view,/api/v2/companies/me/warehouse/,/api/v2/companies/me/warehouse/,migrated,warehouse,shape+semantics,api/inventory.api.ts:13,
api/executives.api.ts,useExecutiveSearch,/api/v2/executives/search/,POST,executive-search,/api/v2/executives/search/,none,deferred-plugin,executives,shape,api/executives.api.ts:89,
api/executives.api.ts,useRecruitExecutive,/api/v2/executives/recruit/,POST,executive-recruit,/api/v2/executives/recruit/,none,deferred-plugin,executives,shape+semantics,api/executives.api.ts:110,
api/executives.api.ts,useMyExecutives,/api/v2/executives/search/,POST,executive-list,/api/v2/executives/search/,none,deferred-plugin,executives,shape,api/executives.api.ts:124,
api/executives.api.ts,useTrainExecutive,/api/v2/executives/train/${executiveId}/,POST,executive-train,/api/v2/executives/train/,none,deferred-plugin,executives,shape+semantics,api/executives.api.ts:139,
api/executives.api.ts,useExecutiveDetail,/api/v3/executives/${id}/,GET,executive-detail,/api/v3/executives/,none,deferred-plugin,executives,shape,api/executives.api.ts:152,
features/buildings/BuildView.tsx,BuildView,/api/v2/buildings/market/,GET,building-shop,/api/v2/buildings/market/,none,remaining-core,buildings,shape,features/buildings/BuildView.tsx:29,
